ID No.,Gender,Age (in year),Height (in m),Weight (in Kg)
P1,F,25,1.7,78
P2,M,29,1.62,63.5
P3,M,30,1.75,85
P4,M,28,1.68,50
P5,M,26,1.72,67
P6,M,29,1.64,71.2
P7,M,31,1.85,87
P8,F,28,1.65,59
P9,F,28,1.6,47
P10,M,28,1.82,85
P11,M,31,1.65,65
P12,F,31,1.7,75
P13,F,29,1.65,69
P14,M,27,1.71,75
P15,F,30,1.7,60
P16,M,27,1.7,67
P17,F,29,1.56,68
P18,F,28,1.62,59
P19,M,24,1.62,65
P20,F,28,1.61,57
P21,M,33,1.76,75
P22,F,30,1.61,62.2
P23,F,30,1.72,64
P24,M,24,1.7,72
P25,F,24,1.66,59
P26,F,26,1.7,58.9
P27,M,26,1.76,65
P28,M,28,1.65,62
P29,F,28,1.67,64
P30,M,29,1.6,69
